Number of pairs,3747.000000
Number of unique pairs,726
Average pair frequency,5.161157
Pair entropy,6.297801

Pair,Frequency,Proportion,Entropy Term,Mutual Information
bela palestina,9.000000,0.002402,0.014487,2.595778
zionis palestina,6.000000,0.001601,0.010307,1.241232
zionis israel,5.000000,0.001334,0.008833,2.104215
zionis rakyat,3.000000,0.000801,0.005709,3.240410
tepi gaza,3.000000,0.000801,0.005709,3.526035
tepi barat,15.000000,0.004003,0.022100,6.058636
tepi diduduki,3.000000,0.000801,0.005709,5.870584
barat palestina,6.000000,0.001601,0.010307,1.307924
barat gaza,3.000000,0.000801,0.005709,2.866789
barat negara,4.000000,0.001068,0.007304,2.427651
barat tanah,3.000000,0.000801,0.005709,3.131897
barat diduduki,3.000000,0.000801,0.005709,5.211338
eropa palestina,6.000000,0.001601,0.010307,1.730781
eropa mengakui,3.000000,0.000801,0.005709,3.628862
amerika serikat,4.000000,0.001068,0.007304,7.346491
terkait palestina,4.000000,0.001068,0.007304,2.477995
kebebasan palestina,3.000000,0.000801,0.005709,2.883460
tanah palestina,22.000000,0.005871,0.030165,1.949151
tanah israel,5.000000,0.001334,0.008833,1.512850
tanah yg,8.000000,0.002135,0.013129,2.423776
tanah rakyat,4.000000,0.001068,0.007304,2.936727
tanah bangsa,3.000000,0.000801,0.005709,2.972832
tanah orang,3.000000,0.000801,0.005709,2.438750
tanah air,4.000000,0.001068,0.007304,5.177437
tanah perjanjian,3.000000,0.000801,0.005709,4.889755
filistin romawi,3.000000,0.000801,0.005709,5.919374
rais wa,3.000000,0.000801,0.005709,6.430200
rais uturuki,3.000000,0.000801,0.005709,8.039638
rais recep,3.000000,0.000801,0.005709,8.327320
